,exchange,code
151,Dublin Stock Exchange,DUB
152,"Dublin, Non-Exchange FI Updates",#IE
153,Dunedin Regional Stock Exchange,DUN
154,Dusseldorf Stock Exchange,DUS
155,EASDAQ SA,EAS
156,El Salvador Stock Exchange,ELS
157,Emerging Company Marketplace,ECM
158,Energy Exchange-Friday RAM updates,EF$
159,Energy Exchange-Tues/Thurs RAM updates,AT$
160,Energy Exchange-Tues/Thurs REMA updates,TE$
161,Energy Exchange-Wednesday RAM updates,WE$
162,Energy Exchange-Wednesday Singapore upd,WS$
163,Energy Options Exchange,ENO
164,EnMO,EMO
165,Eurex,EUX
166,Eurex Market Depth,EUD
167,Eurex US,EUS
168,EURO MTS-LISTINO,ME2
169,"Eurobonds, Non-Exchange FI Update",#XS
170,EuroMTS Ltd,MTE
171,EuroNext,NXT
172,Euronext Amsterdam NV,AEX
173,Euronext Brussels,BRU
174,EURONEXT CASH LEVEL 1,ES1
175,EURONEXT CASH LEVEL 2,ENS
176,Euronext Indices,ENX
177,Europe and Mediterranean Bunkers,RE$
178,European Energy Exchange,EEX
179,European Mercantile Exchange,EME
180,European Warrant Exchange (EUWAX),EWX
181,EXAA Energy Exchange Austria,EXA
182,Exotic Forex,EX@
183,Financial Express,FEP
184,"Financial Terminal Market, Amsterdam",FTM
185,Finland Options Market (Helsinki Securities & Derivatives Exchange),FOM
186,"Finland, Non-Exchange FI Update",#FI
187,Finnish Electricity Exchange,ELX
188,Fixings,FIX
189,Florence Stock Exchange,FIR
190,"France, Non-Exchange FI Update",#FR
191,Frankfurt Stock Exchange,FRA
192,FTSE International,FSI
193,FTSE UK Trader,FST
194,Fukuoka Stock Exchange,FKA
195,Geneva Stock Exchange,GVA
196,Genoa Stock Exchange,GOA
197,German Inland Gas Oil,RG$
198,"Germany, Non-Exchange FI Update",#DE
199,Ghana Stock Exchange,GSE
200,Global Best,GBE
201,"Greece, Non-Exchange FI Update",#GR
202,Gretai Securities Market,TWO
203,Guangdong United Futures Exchange,GUF
204,Guangzhou Commodities & Futures Exchange,GZC
205,Guayaquil Stock Exchange,GYQ
206,Hamburg Stock Exchange,HAM
207,HANOVER COMMODITY EXCHANGE,WTB
208,Hanover Stock Exchange,HAN
209,Helsinki Options & Futures Exchange,HOM
210,Helsinki Stock Exchange,HEL
211,HFE Rolling Forex,$HF
212,Hiroshima Stock Exchange,HIR
213,Ho Chi Minh Securities Trading Centre,VSE
214,Hokkaido Grain,HGE
215,Hong Kong Futures Exchange Ltd,HFE
216,Hong Kong Money Rates,HK$
217,"Hong Kong, Non-Exchange FI Update",#HK
218,iBOXX Ltd,IBX
219,Iceland Fixed Income,#IS
220,Iceland Stock Exchange,ICX
221,India Non-Exchange FI Update,#IN
222,Indian Government Benchmarks,IBK
223,Indonesia Funds,ID$
224,Instinet,INS
225,Inter Bank Information Systems (IBIS),IBS
226,Interbank Rates,IB$
227,Interbolsa Portugal,MCP
228,International Brunei Exchange,IBU
229,International LPG,IL$
230,International Petroleum Exchange,IPE
231,International Securities Exchange,ISO
232,Iran Non Exchange Forex,IR$
233,Irish Futures and Options Market,IFX
234,Island Futures Exchange LLC,IFE
235,Istanbul Gold Exchange,IGE
236,Istanbul Stock Exchange,IST
237,Istanbul Stock Exchange (Mutual Funds),ISF
238,"Istanbul, Non-Exchange FI Update",#TR
239,Italian Government Forwards,IGF
240,"Italy, Non-Exchange FI Update",#IT
241,Jakarta Futures Exchange,JFX
242,Jakarta Stock Exchange,JKT
243,Japan Spot Products,JA$
244,"Japan, Non-Exchange FI Update",#JP
245,Japanese Bond Trading Co (JBTC),JBT
246,JASDAQ - OTC (Japan Securities Dealers' Association),JSD
247,Jiway Ltd,JIW
248,Kanmon Commodity Exchange,FFE
249,Kansai Agricultural Commodity,KEX
250,Kansas City Board of Trade,KBT
251,"Kazakhstan, Non-Exchange FI Update",#KZ
252,Kazakstan Stock Exchange,KAZ
253,Kobe Rubber Exchange,KRE
254,Korea Electronic Communications Network,KEC
255,Korea Futures Exchange,KFE
256,Korea Securities Dealers Automated Quotation (KOSDAQ),KOE
257,Korea Stock Exchange,KSC
258,Korea Stock Exchange - Bond Data,KSB
259,Korean Money Rates (Mon-Fri),KS$
260,Korean Money Rates (Mon-Sat),KO$
261,Korean OTC Bonds,#KR
262,Kuala Lumpur Stock Exchange,KLS
263,Kuwait Stock Exchange,KUW
264,Kyoto Stock Exchange,KYO
265,La Plata Stock Exchange,LAP
266,Lagos Stock Exchange,LAG
267,LATIBEX,LAT
268,Lausanne Stock Exchange,LAU
269,LIFFE/NASDAQ Single Stock Futures Exchange,NLX
270,Lille Commodity Exchange,LIC
271,Lille Stock Exchange,LIL
272,Lima Stock Exchange,LMA
273,Lipper,LIP
274,Lipper Canadian Mutual Funds,LPC
275,Lisbon Stock Exchange,LIS
276,"Ljubljana Stock Exchange, Inc",LJU
277,London Commodity Exchange,LCE
278,London Forex,LD@
279,London Futures & Options Exchange,LFO
280,London Futures and Options Exchange,FOX
281,London Latest Touch System,LLT
282,London Meat Futures Exchange,LMF
283,London Over The Counter Market,LOT
284,London Stock Exchange,LSE
285,Lucerne Stock Exchange,LUZ
286,Lusaka Stock Exchange,LUS
287,Luxembourg Stock Exchange,LUX
288,"Luxembourg, Non-Exchange FI Update",#LU
289,Lyon Stock Exchange,LYO
290,Madras Stock Exchange Ltd,MDS
291,Madrid Fixed Income Market,MFI
292,Madrid Stock Exchange,MAD
293,MAE Argentina,MAE
294,Maeba Cocoons Exchange,MDC
295,Makati Stock Exchange,MAK
296,Malawi Stock Exchange,MLS
297,Malaysia Derivatives Exchange Bhd,MDX
298,"Malaysia, Non-Exchange FI Update",#MY
299,Malaysian Money Rates,MY$
300,Malta Stock Exchange,MLT
301,Manila International Futures Exchange,MIF
302,Manila Stock Exchange,MNL
303,Maricaibo Stock Exchange,MRC
304,Marseilles Stock Exchange,MRS
305,MATIF,MAT
306,Mdex Commodity Market,KLC
307,Mdex MGS Futures Market,MBM
308,Mdex Non-Equity Financial Market,MME
309,Medellmn Stock Exchange,MED
310,Mediterranean Spot Products,MD$
311,Melbourne Stock Exchange,MEL
312,Mendoza Stock Exchange,MEN
313,Mercado A Termino de Buenos Aires,BCC
314,Mercado de Deuda Publica en Anotaciones,MCA
315,Mercato Telematico Titoli Stat,MST
316,Merrill Lynch Eurobonds,MLY
317,Metrex Stock Exchange,154
318,Mexican Stock Exchange,MEX
319,MEXICO STOCK EXCH (INTERMEDIATE MARKET),MXI
320,"Mexico, Non-Exchange FI Update",#MX
321,MidAmerica Commodities Exchange,MAC
322,MidEast Spot Products,ME$
323,Midwest Stock Exchange,MID
324,Midwest Stock Exchange for Nasdaq Large Cap,LCM
325,MIF SpA,IFM
326,Milan Stock Exchange,MIL
327,Minneapolis Grain Exchange,MGE
328,Monday Update Only,MO$
329,MONEP,MNP
330,Monitor Amsterdam Rates,AM$
331,Monitor Asian Rates,AS$
332,Monitor Brussels Rates,BR$
333,Monitor European Rates,EU$
334,Monitor Frankfurt Rates,FF$
335,Monitor General Exchange Offset,GMT
336,Monitor Indian Rates,IN$
337,Monitor Latin American Rates,LA$
338,Monitor London Rates,LO$
339,Monitor New Zealand Rates,NZ$
340,Monitor North American Rates,NA$
341,Monitor Paris Rates,PA$
342,Monitor Singapore Rates,SI$
343,Monitor Sydney Rates,SY$
344,Monitor Tokyo Rates,TO$
345,Monitor Wellington Rates,WL$
346,Montevideo Electronic Stock Exchange,BEU
347,Montevideo Stock Exchange,MTV
348,Montreal Exchange,MON
349,Montreal Options Exchange,MOE
350,Montreal SE IOM Division,MIO
351,Montreal SE Mercantile Division,MDM
352,Moscow Central Stock Exchange,MCS
353,Moscow Commodities Exchange,MOS
354,Moscow Interbank Currency Exchange (MICEX),MCX
355,Moscow Oil Exchange,MOI
356,Moscow Stock Exchange (MOSTEX),MSE
357,MSG Bond Index,BIN
358,MTS Amsterdam,MTA
359,MTS Austrian Market,MTR
360,MTS Belgium,MTC
361,MTS Denmark,MTD
362,MTS Finland,MTL
363,MTS Finland - Listino,ML2
364,MTS France,MTF
365,MTS Germany,MTG
366,MTS Germany - Listino,MG2
367,MTS Ireland,MTI
368,MTS Ireland - Listino,MI2
369,MTS ITALY - LISTINO,MS2
370,MTS ITALY - LISTINO,MTS
371,MTS PORTUGAL,MT1
372,MTS Spain,MTU
373,Munich Stock Exchange,MUN
374,Muscat Securities Market,MUS
375,Nagoya Stock Exchange,NGO
376,Nagoya Textile Exchange,NTC
377,Nairobi Stock Exchange,NAI
378,NAKADACHI SECURITIES,NAK
379,Nancy Stock Exchange,NAY
380,Nanjing Petroleum Exchange,XXX
381,Nantes Stock Exchange,NAN
382,Naples Stock Exchange,NAP
